location_name,FIPS Code,Percent Change in Alcohol Use Disorders,State Name
Chesterfield County,51041,-23.84469057,VA
Clarke County,51043,49.37332805,VA
Craig County,51045,-16.02728839,VA
Culpeper County,51047,-21.13749805,VA
Cumberland County,51049,-67.31951503,VA
Dickenson County,51051,32.0546446,VA
Dinwiddie County,51053,-73.54916325,VA
Essex County,51057,-4.636401268,VA
Fairfax County,51059,49.74889354,VA
Fauquier County,51061,30.98336624,VA
Floyd County,51063,-38.60390634,VA
Fluvanna County,51065,-70.37507598,VA
Franklin County,51067,-44.60921247,VA
Frederick County,51069,84.74307508,VA
Giles County,51071,-7.173895359,VA
Gloucester County,51073,-9.013325446,VA
Goochland County,51075,-67.82902193,VA
Grayson County,51077,-15.56741904,VA
Greene County,51079,-45.2184896,VA
Greensville County,51081,-57.93416406,VA
Halifax County,51083,-51.4987009,VA
Hanover County,51085,-38.36729225,VA
Henrico County,51087,-37.37569112,VA
Henry County,51089,-4.793747551,VA
Highland County,51091,-18.41269554,VA
Isle of Wight County,51093,-54.4895779,VA
James City County,51095,-50.66215542,VA
King and Queen County,51097,-43.7979757,VA
King George County,51099,-22.76632472,VA
King William County,51101,-40.62767632,VA
Lancaster County,51103,-5.954511827,VA
Lee County,51105,-23.83741939,VA
Loudoun County,51107,49.80368255,VA
Louisa County,51109,-60.37511343,VA
Lunenburg County,51111,-61.56415179,VA
Madison County,51113,-35.95818179,VA
Mathews County,51115,-42.02530602,VA
Mecklenburg County,51117,-72.05706388,VA
Middlesex County,51119,-50.52729988,VA
Montgomery County,51121,-23.90348397,VA
Nelson County,51125,-48.39109962,VA
New Kent County,51127,-43.07907013,VA
Northampton County,51131,-37.28660274,VA
Northumberland County,51133,-8.930413455,VA
Nottoway County,51135,-63.58378959,VA
Orange County,51137,-38.88515532,VA
Page County,51139,-9.191762501,VA
Patrick County,51141,-25.64075465,VA
Pittsylvania County,51143,-34.52845667,VA
Powhatan County,51145,-58.91357988,VA
Prince Edward County,51147,-59.4391526,VA
Prince George County,51149,-61.29992488,VA
Prince William County,51153,63.44917201,VA
Pulaski County,51155,18.73040725,VA
Rappahannock County,51157,2.336826383,VA
Richmond County,51159,-26.45589011,VA
Roanoke County,51161,-17.1997072,VA
Rockbridge County,51163,-40.6657194,VA
Rockingham County,51165,-3.173869638,VA
Russell County,51167,-24.20067323,VA
Scott County,51169,10.18847463,VA
Shenandoah County,51171,13.56172893,VA
Smyth County,51173,-1.07662211,VA
Southampton County,51175,-55.81043401,VA
Spotsylvania County,51177,-24.67194624,VA
Stafford County,51179,-23.28732476,VA
Surry County,51181,-60.17929627,VA
Sussex County,51183,-51.85534128,VA
Tazewell County,51185,41.35987844,VA
Warren County,51187,63.0790182,VA
Washington County,51191,-21.49968595,VA
Westmoreland County,51193,-3.801388816,VA
Wise County,51195,11.23623666,VA
Wythe County,51197,-17.29658987,VA
York County,51199,-44.06579527,VA
Alexandria City,51510,-37.78710227,VA
Bristol City,51520,-35.30239258,VA
Buena Vista City,51530,-40.6657194,VA
Charlottesville City,51540,-51.748246,VA
Chesapeake City,51550,-52.13425034,VA
Colonial Heights City,51570,-10.56466047,VA
Covington City,51580,-5.627409046,VA
Danville City,51590,-34.52845667,VA
Emporia City,51595,-57.93416406,VA
Fairfax City,51600,49.74889354,VA
Falls Church City,51610,114.8263061,VA
Franklin City,51620,-55.81043401,VA
Fredericksburg City,51630,-24.67194624,VA
Galax City,51640,-14.77381,VA
Hampton City,51650,-32.08512342,VA
Harrisonburg City,51660,-3.173869638,VA
Hopewell City,51670,-16.8333237,VA
Lexington City,51678,-51.61852009,VA
Lynchburg City,51680,-40.32234748,VA
Manassas City,51683,63.44917201,VA
Manassas Park City,51685,63.44917201,VA
Martinsville City,51690,-47.81375539,VA
Newport News City,51700,-44.06579527,VA
Norfolk City,51710,-48.48411851,VA
Norton City,51720,-46.25483758,VA
Petersburg City,51730,-41.39658965,VA
Poquoson City,51735,-65.78717067,VA
Portsmouth City,51740,-47.69106007,VA
Radford City,51750,-22.43715724,VA
Richmond City,51760,-68.44257353,VA
Roanoke City,51770,-65.05540908,VA
Salem City,51775,-23.86516879,VA
Staunton City,51790,-18.03828978,VA
Suffolk City,51800,-60.44337121,VA
Virginia Beach City,51810,3.552656794,VA
Waynesboro City,51820,-18.03828978,VA
Williamsburg City,51830,-50.66215542,VA
Winchester City,51840,84.925446,VA
